Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Unnamed: 7,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Year
48,117,0,1,0.445,0.074,0.519,0.0,3,3,1,4,1,2010
48,117,1,1,0.032,0.0,0.033,0.0,3,3,1,1,1,2010
48,117,2,1,0.001,0.0,0.001,0.0,4,3,1,3,1,2010
48,117,3,0,0.006,0.0,0.006,0.0,3,3,1,4,1,2010
49,158,0,1,0.401,0.049,0.449,0.0,3,3,1,4,1,2010
49,158,1,1,0.012,0.0,0.013,0.0,3,3,1,1,1,2010
49,158,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
49,158,3,0,0.01,0.0,0.01,0.0,4,3,1,4,1,2010
50,262,0,1,0.539,0.059,0.598,0.0,4,3,1,4,1,2010
50,262,1,1,0.007,0.0,0.007,0.0,3,3,1,1,1,2010
50,262,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
50,262,3,0,0.004,0.0,0.004,0.0,3,3,1,4,1,2010
51,261,0,1,0.443,0.06,0.504,0.0,4,3,1,4,1,2010
51,261,1,1,0.045,0.0,0.046,0.0,4,3,1,1,1,2010
51,261,2,1,0.002,0.0,0.002,0.0,4,3,1,4,1,2010
51,261,3,0,0.004,0.0,0.004,0.0,3,3,1,4,1,2010
52,316,0,1,0.316,0.066,0.382,0.0,4,3,1,4,1,2010
52,316,1,1,0.004,0.0,0.005,0.0,3,3,1,1,1,2010
52,316,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
52,316,3,0,0.004,0.0,0.004,0.0,3,3,1,4,1,2010
53,33,0,1,0.215,0.061,0.277,0.0,3,3,1,4,1,2010
53,33,1,1,0.002,0.0,0.002,0.0,3,3,1,1,1,2010
53,33,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
53,33,3,0,0.005,0.0,0.005,0.0,3,3,1,4,1,2010
54,72,0,1,0.429,0.1,0.529,0.0,3,3,1,4,1,2010
54,72,1,1,0.004,0.001,0.005,0.0,3,3,1,1,1,2010
54,72,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
54,72,3,0,0.008,0.0,0.008,0.0,4,3,1,4,1,2010
55,329,0,1,0.188,0.043,0.231,0.0,3,3,1,4,1,2010
55,329,1,1,0.001,0.0,0.001,0.0,3,3,1,1,1,2010
55,329,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
55,329,3,0,0.008,0.0,0.008,0.0,4,3,1,4,1,2010
56,55,0,1,0.194,0.045,0.239,0.0,3,3,1,4,1,2010
56,55,1,1,0.001,0.0,0.001,0.0,3,3,1,1,1,2010
56,55,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
56,55,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
57,114,0,1,0.092,0.01,0.102,0.0,3,3,1,4,1,2010
57,114,1,1,0.001,0.0,0.001,0.0,3,3,1,1,1,2010
57,114,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
57,114,3,0,0.006,0.0,0.006,0.0,3,3,1,2,1,2010
58,317,0,1,0.169,0.035,0.204,0.0,3,3,1,4,1,2010
58,317,1,1,0.002,0.0,0.002,0.0,3,3,1,1,1,2010
58,317,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
58,317,3,0,0.006,0.0,0.006,0.0,3,3,1,3,1,2010
59,12,0,1,0.164,0.045,0.208,0.0,3,3,1,4,1,2010
59,12,1,1,0.002,0.0,0.003,0.0,3,3,1,1,1,2010
59,12,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
59,12,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
60,331,0,1,0.221,0.051,0.272,0.0,3,3,1,3,1,2010
60,331,1,1,0.001,0.0,0.002,0.0,3,3,1,1,1,2010
60,331,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
60,331,3,0,0.022,0.0,0.022,0.0,3,3,1,2,1,2010
61,35,0,1,0.284,0.117,0.4,0.0,3,3,1,3,1,2010
61,35,1,1,0.002,0.001,0.002,0.0,3,3,1,1,1,2010
61,35,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
61,35,3,0,0.01,0.0,0.01,0.0,3,3,1,2,1,2010
62,386,0,1,0.173,0.17,0.343,0.0,3,3,1,3,1,2010
62,386,1,1,0.001,0.001,0.002,0.0,3,3,1,1,1,2010
62,386,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
62,386,3,0,0.005,0.0,0.005,0.0,3,3,1,2,1,2010
63,91,0,1,0.279,0.095,0.374,0.0,3,3,1,4,1,2010
63,91,1,1,0.002,0.001,0.002,0.0,3,3,1,1,1,2010
63,91,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
63,91,3,0,0.004,0.0,0.004,0.0,3,3,1,3,1,2010
64,354,0,1,0.116,0.089,0.205,0.0,3,3,1,3,1,2010
64,354,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
64,354,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
64,354,3,0,0.002,0.0,0.002,0.0,3,3,1,2,1,2010
65,112,0,1,0.517,0.043,0.56,0.0,3,3,1,3,1,2010
65,112,1,1,0.003,0.0,0.003,0.0,3,3,1,1,1,2010
65,112,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
65,112,3,0,0.005,0.0,0.005,0.0,3,3,1,2,1,2010
66,107,0,1,0.356,0.062,0.418,0.0,3,3,1,3,1,2010
66,107,1,1,0.002,0.0,0.002,0.0,3,3,1,1,1,2010
66,107,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
66,107,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
67,113,0,1,0.241,0.028,0.269,0.0,3,3,1,3,1,2010
67,113,1,1,0.001,0.0,0.001,0.0,3,3,1,1,1,2010
67,113,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
67,113,3,0,0.005,0.0,0.005,0.0,3,3,1,2,1,2010
68,43,0,1,0.434,0.25,0.685,0.0,3,3,1,3,1,2010
68,43,1,1,0.002,0.001,0.003,0.0,3,3,1,1,1,2010
68,43,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
68,43,3,0,0.006,0.0,0.006,0.0,3,3,1,3,1,2010
